# # Time 	 R_dot 	 Theta_dot 
# 
1.887700195000000081e+00	-4.386886529999999701e-02	-2.394325261395599922e-15
1.893235910000000022e+00	-4.410428930000000192e-02	-2.432864494137777628e-15
1.898771624000000102e+00	-4.434007878000000014e-02	-2.465578055143403550e-15
1.904307337999999961e+00	-4.457623076000000184e-02	-2.458306493101827255e-15
1.909843052000000041e+00	-4.481273793999999977e-02	-2.482044844903073758e-15
1.915378766999999982e+00	-4.504959588000000126e-02	-2.509655691116333068e-15
1.920914481000000062e+00	-4.528680476000000038e-02	-2.543205541611340476e-15
1.926450194999999921e+00	-4.552436588000000062e-02	-2.544325049248165636e-15
1.931985910000000084e+00	-4.576227142000000025e-02	-2.574864392874352160e-15
1.937521623999999942e+00	-4.600049227999999935e-02	-2.598723022904505390e-15
1.943057338000000023e+00	-4.623899341999999912e-02	-2.620363552886373023e-15
1.948593052000000103e+00	-4.647776859999999677e-02	-2.645043636127980197e-15
1.954128767000000044e+00	-4.671684898000000308e-02	-2.671853214261159218e-15
1.959664480999999903e+00	-4.695626992000000166e-02	-2.660046151468348423e-15
1.965200194999999983e+00	-4.719603990000000027e-02	-2.672686077814666325e-15
1.970735909999999924e+00	-4.743614300000000006e-02	-2.670885752318880962e-15
1.976271624000000005e+00	-4.767656448000000269e-02	-2.656525632690205996e-15
1.981807338000000085e+00	-4.791730258000000131e-02	-2.597115803442496942e-15
1.987343051999999943e+00	-4.815836198000000151e-02	-2.569085840919099929e-15
1.992878767000000106e+00	-4.839974397999999983e-02	-2.540230784660606518e-15
1.998414480999999965e+00	-4.864144596000000154e-02	-2.477674078953375187e-15
2.003950194999999823e+00	-4.888346410000000281e-02	-2.456928904578825259e-15
2.009485909999999986e+00	-4.912579562000000261e-02	-2.445098244354044948e-15
